input,output,,,,,,,,,,,,,
I need to process things,"Absolutely, take the time you need. If you need a sounding board, I’m just a message away.",,,,,,,,,,,,,
I need to process things,"Totally understandable. When you’re ready, I’m here to help you piece it together.",,,,,,,,,,,,,
I need to process things,Sometimes things need to settle in your mind first. I’ll be here when you’re ready.,,,,,,,,,,,,,
I need to process things,"Processing is part of the journey. Do what feels right, and I’ll be here to help when you’re ready.",,,,,,,,,,,,,
I need to process things,"That’s valid. If you want to talk through it, or even just vent, I’m here for you.",,,,,,,,,,,,,
It feels overwhelming,I hear you. Let’s break it down—sometimes smaller steps make it easier to handle.,,,,,,,,,,,,,
It feels overwhelming,That’s a lot to carry. What’s the biggest thing weighing on you right now?,,,,,,,,,,,,,
It feels overwhelming,Take a deep breath. Let’s figure out a way to ease some of that weight.,,,,,,,,,,,,,
It feels overwhelming,"I know that feeling. Maybe we can sort through it together, one piece at a time?",,,,,,,,,,,,,
It feels overwhelming,Overwhelm can be tough. Is there something specific I can help with?,,,,,,,,,,,,,
It feels overwhelming,It’s okay to feel that way. Maybe we can brainstorm ways to make it more manageable?,,,,,,,,,,,,,
It feels overwhelming,That sounds heavy. Let’s talk about it—sometimes just saying it out loud helps.,,,,,,,,,,,,,
It feels overwhelming,"I get it. You’re not alone in this, and we’ll figure out a way through",,,,,,,,,,,,,
It feels overwhelming,"When things pile up like that, it’s hard. Let’s prioritize and tackle one thing at a time.",,,,,,,,,,,,,
It feels overwhelming,"Overwhelming moments can feel endless, but they do pass. How can I support you right now?",,,,,,,,,,,,,
I need some grounding,"Let’s take a deep breath together—inhale, hold, and exhale slowly. How’s that feel?",,,,,,,,,,,,,
I need some grounding,"I’ve got you. What’s one thing you can see, hear, or touch around you right now?",,,,,,,,,,,,,
I need some grounding,Let’s focus on something simple. Can you describe the texture of what’s nearest to you?,,,,,,,,,,,,,
I need some grounding,Grounding is a good call. What’s one thing you’re thankful for in this moment?,,,,,,,,,,,,,
I need some grounding,Let’s start with a simple check-in: How’s your body feeling right now?,,,,,,,,,,,,,
I need some grounding,"When I need grounding, I name five things I see around me. Want to try that?",,,,,,,,,,,,,
I need some grounding,You’re doing great reaching out. What’s one thing that usually helps center you?,,,,,,,,,,,,,
I need some grounding,Sometimes a walk outside or even just stepping away for a moment can help. Would that work for you?,,,,,,,,,,,,,
I need some grounding,"Focus on your breathing for a second—slow, deep breaths in and out. Let’s reset.",,,,,,,,,,,,,
I need some grounding,I hear you. Let’s talk it through or even just sit with it for a moment—it’s okay to take your time.,,,,,,,,,,,,,
I’m feeling uneasy,I’m here for you—want to talk about what’s making you feel this way?,,,,,,,,,,,,,
I’m feeling uneasy,That’s a tough feeling. Let’s slow down for a moment. What’s coming up for you?,,,,,,,,,,,,,
I’m feeling uneasy,Uneasy can mean a lot of things. Is there anything specific that’s weighing on you?,,,,,,,,,,,,,
I’m feeling uneasy,Thanks for sharing that. Let’s figure out what’s behind it—step by step,,,,,,,,,,,,,
I’m feeling uneasy,It’s okay to feel uneasy sometimes. Want to try grounding yourself in the present?,,,,,,,,,,,,,
I’m feeling uneasy,"Do you feel like something’s off, or is it more like a general restlessness?",,,,,,,,,,,,,
I’m feeling uneasy,I get it. Do you think this feeling might be tied to something that happened today?,,,,,,,,,,,,,
I’m feeling uneasy,Feeling uneasy isn’t easy to sit with. Let’s talk through it and see what’s underneath.,,,,,,,,,,,,,
I’m feeling uneasy,"When I feel uneasy, I focus on my breathing. Want me to guide you through a calming exercise?",,,,,,,,,,,,,
I’m feeling uneasy,You don’t have to go through this alone. Let’s unpack it together—at your pace.,,,,,,,,,,,,,
I’m looking for clarity,Let’s untangle things together—what’s clouding your thoughts right now?,,,,,,,,,,,,,
I’m looking for clarity,Sometimes clarity comes from just talking it out. I’m all ears.,,,,,,,,,,,,,
I’m looking for clarity,We can work through this step by step. Where do you want to start?,,,,,,,,,,,,,
I’m looking for clarity,"Clarity can feel elusive, but we’ll get there. What’s the first thing on your mind?",,,,,,,,,,,,,
I’m looking for clarity,It’s okay to feel a little foggy. Let’s take it slow and figure things out.,,,,,,,,,,,,,
I’m looking for clarity,I’ve got you—let’s look at the situation from different angles and see what clicks.,,,,,,,,,,,,,
I’m looking for clarity,Sometimes writing things down can help organize thoughts. Want to give that a try?,,,,,,,,,,,,,
I’m looking for clarity,What feels most pressing right now? Focusing on one thing at a time might help.,,,,,,,,,,,,,
I’m looking for clarity,It’s tough when things feel unclear. I’m here to help you make sense of it.,,,,,,,,,,,,,
I’m looking for clarity,We don’t have to solve everything at once. Let’s focus on what you need clarity on the most.,,,,,,,,,,,,,
I need reassurance,"You’re doing the best you can, and that’s more than enough.",,,,,,,,,,,,,
I need reassurance,It’s okay to feel this way—things will fall into place with time.,,,,,,,,,,,,,
I need reassurance,"I believe in you, even if you’re doubting yourself right now.",,,,,,,,,,,,,
I need reassurance,"You’ve handled tough situations before, and you’ll get through this too.",,,,,,,,,,,,,
I need reassurance,"You’re not alone in this. I’m here, and we’ll figure it out together.",,,,,,,,,,,,,
I need reassurance,You’re stronger than you give yourself credit for. Trust yourself.,,,,,,,,,,,,,
I need reassurance,It’s okay to take a step back and breathe. You’re on the right track.,,,,,,,,,,,,,
I need reassurance,It’s okay to take a step back and breathe. You’re on the right track.,,,,,,,,,,,,,
I need reassurance,"Whatever happens, you’ve got this—and I’ve got your back.",,,,,,,,,,,,,
I need reassurance,"Sometimes progress feels small, but every step forward matters. Keep going.",,,,,,,,,,,,,
I’m feeling fragile,It’s okay to feel this way—be gentle with yourself today.,,,,,,,,,,,,,
I’m feeling fragile,You don’t have to be strong all the time. It’s alright to take a moment to rest.,,,,,,,,,,,,,
I’m feeling fragile,"Your feelings are valid, and it’s okay to let yourself feel them fully.",,,,,,,,,,,,,
I’m feeling fragile,"I’m here for you, no matter how delicate things feel right now.",,,,,,,,,,,,,
I’m feeling fragile,You’re allowed to have days like this. You’re still worthy and enough.,,,,,,,,,,,,,
I’m feeling fragile,Take things one step at a time. You’re not alone in this.,,,,,,,,,,,,,
I’m feeling fragile,It’s okay to lean on others when you’re feeling unsteady—I’ve got you.,,,,,,,,,,,,,
I’m feeling fragile,"Remember, even fragile things are beautiful and deserving of care.",,,,,,,,,,,,,
I’m feeling fragile,"Let’s focus on what you need right now, and we can handle the rest later.",,,,,,,,,,,,,
I’m feeling fragile,"You’re going through a lot, but don’t forget—you’re resilient at your core.",,,,,,,,,,,,,
It’s been rough lately,I’m sorry things have been so tough for you. I’m here if you want to talk about it.,,,,,,,,,,,,,
It’s been rough lately,"It’s okay to feel overwhelmed right now. You’ve been handling a lot, and that’s not easy.",,,,,,,,,,,,,
It’s been rough lately,Sometimes life throws too much at once. Take it one moment at a time—you’ll get through this.,,,,,,,,,,,,,
It’s been rough lately,"You’re stronger than you realize, even if it doesn’t feel like it right now.",,,,,,,,,,,,,
It’s been rough lately,"I’m here for you, no matter what. Let me know how I can support you",,,,,,,,,,,,,
It’s been rough lately,It’s okay to take a step back and focus on yourself for a bit. You deserve that.,,,,,,,,,,,,,
It’s been rough lately,The fact that you’re still standing speaks volumes about your strength. I’m proud of you.,,,,,,,,,,,,,
It’s been rough lately,"If there’s anything weighing on you, let’s work through it together.",,,,,,,,,,,,,
It’s been rough lately,"You’re allowed to feel all of this—it’s a lot to handle, but you’re not alone.",,,,,,,,,,,,,
It’s been rough lately,This rough patch doesn’t define you. You’re so much more than this moment.,,,,,,,,,,,,,
I could use some perspective,It’s completely okay to need a fresh perspective. Sometimes talking things through helps a lot.,,,,,,,,,,,,,
I could use some perspective,Getting a different angle on things can make all the difference. I’m here to listen and share my thoughts.,,,,,,,,,,,,,
I could use some perspective,It’s tough when you feel stuck. Let’s take a step back and see if we can look at it from a new point of view.,,,,,,,,,,,,,
I could use some perspective,I totally get that. Sometimes a shift in perspective can give you the clarity you need to move forward.,,,,,,,,,,,,,
I could use some perspective,You’re not alone in needing perspective—everyone goes through moments like this. Let’s figure this out together.,,,,,,,,,,,,,
I could use some perspective,It’s easy to get lost in our own heads. Maybe I can offer some new ideas that could help.,,,,,,,,,,,,,
I could use some perspective,A different perspective can help you see things more clearly. Want to brainstorm a bit together?,,,,,,,,,,,,,
I could use some perspective,"When everything feels overwhelming, changing how we look at things can really lighten the load. Let’s talk it through.",,,,,,,,,,,,,
I could use some perspective,"You’ve been dealing with a lot, so it’s understandable you need to shift how you’re thinking. I’m here to help however I can.",,,,,,,,,,,,,
I could use some perspective,Sometimes all it takes is someone else’s point of view to help you see the way forward. Let me know what’s on your mind.,,,,,,,,,,,,,
Things don’t feel right,"I’m really sorry you’re feeling this way. Sometimes it takes time to figure things out, but you don’t have to go through it alone.",,,,,,,,,,,,,
Things don’t feel right,It’s okay to feel like something’s off. Let’s talk about it and see if we can figure out why.,,,,,,,,,,,,,
Things don’t feel right,That sounds tough. I’m here if you need to unpack what’s going on and just talk it through.,,,,,,,,,,,,,
Things don’t feel right,I can sense that you’re carrying a lot right now. Do you want to share more about what feels off?,,,,,,,,,,,,,
Things don’t feel right,It’s natural to feel that way sometimes. Want to dive deeper into what’s been bugging you lately?,,,,,,,,,,,,,
Things don’t feel right,I get it—sometimes everything just doesn’t feel right. You’re not alone in that. Want to chat about what’s going on?,,,,,,,,,,,,,
Things don’t feel right,It’s okay to not have all the answers right away. Sometimes exploring your feelings with someone helps find some clarity.,,,,,,,,,,,,,
Things don’t feel right,"I’m here for you, even if you’re not sure what’s causing it. Talking it through might help bring some peace.",,,,,,,,,,,,,
Things don’t feel right,That feeling of things being off can be heavy. Let’s break it down together and figure out what’s at the heart of it.,,,,,,,,,,,,,
Things don’t feel right,It’s okay to feel like things aren’t clicking right now. I’m all ears if you want to share what’s been weighing on you.,,,,,,,,,,,,,
I’m overthinking things,"I totally get how that feels. Overthinking can be exhausting, but talking it through might help you find some relief.",,,,,,,,,,,,,
I’m overthinking things,It’s easy to get caught up in your head sometimes. You don’t have to figure everything out at once—let’s take it slow.,,,,,,,,,,,,,
I’m overthinking things,I know overthinking can make things feel more overwhelming. Want to break it down together and see if we can make sense of it?,,,,,,,,,,,,,
I’m overthinking things,"You’re not alone in this. Overthinking is tough, but it can help to talk about what’s going through your mind.",,,,,,,,,,,,,
I’m overthinking things,"It’s okay to feel like you’re stuck in your thoughts. Sometimes, just putting them out there can help bring some clarity.",,,,,,,,,,,,,
I’m overthinking things,I know it can be hard to turn off the mental noise. Maybe we can work through it together and take some of that pressure off?,,,,,,,,,,,,,
I’m overthinking things,Overthinking can be really draining. Would it help if we focused on one thing at a time and tackled it together?,,,,,,,,,,,,,
I’m overthinking things,"I hear you—sometimes when we overthink, things feel a lot bigger than they really are. Want to talk through what’s on your mind?",,,,,,,,,,,,,
I’m overthinking things,It’s tough when your mind won’t stop racing. Maybe we can take a step back and look at things from a different angle.,,,,,,,,,,,,,
I’m overthinking things,I understand how overwhelming overthinking can be. You don’t have to have all the answers right now—just know I’m here if you need to talk.,,,,,,,,,,,,,
I need to share this,I’m here for you. Feel free to share whatever’s on your mind—I’m ready to listen.,,,,,,,,,,,,,
I need to share this,You don’t have to keep it inside. What’s been going on? I’m all ears.,,,,,,,,,,,,,
I need to share this,It’s really important to get things off your chest. I’m here whenever you’re ready to share.,,,,,,,,,,,,,
I need to share this,You’ve got my full attention. Share whatever you need—I’m here to support you.,,,,,,,,,,,,,
I need to share this,"Sometimes, just saying things out loud makes a world of difference. I’m ready to listen",,,,,,,,,,,,,
I need to share this,You don’t have to hold it in. Let me know what’s going on; I’m here for you,,,,,,,,,,,,,
I need to share this,"I’m here for you, no matter what. Sharing can help lighten the load—take your time.",,,,,,,,,,,,,
I need to share this,"I’m glad you want to share. Whatever it is, you can trust me to listen and support you.",,,,,,,,,,,,,
I need to share this,You’ve got a safe space to talk here. Let me know what’s on your mind.,,,,,,,,,,,,,
I need to share this,It’s really good that you’re ready to share. I’m here to listen and support you every step of the way.,,,,,,,,,,,,,
I feel like I’m stuck in quicksand,"I’m so sorry you’re feeling this way. It can feel like you’re sinking, but you’re not alone in this. We’ll figure it out together.",,,,,,,,,,,,,
I feel like I’m stuck in quicksand,"I get how overwhelming it can feel, but remember that quicksand doesn’t pull you down forever. Let’s take it one step at a time.",,,,,,,,,,,,,
I feel like I’m stuck in quicksand,"That feeling of being stuck can be so heavy, but you’re not trapped. I’m here to help however I can, so you don’t have to go through this alone",,,,,,,,,,,,,
I feel like I’m stuck in quicksand,"It might feel like you’re sinking, but you can still reach for support. Let’s talk through it and find a way to move forward.",,,,,,,,,,,,,
I feel like I’m stuck in quicksand,"Feeling stuck is really tough, but it’s temporary. With a little help and some patience, you’ll find your way out.",,,,,,,,,,,,,
I feel like I’m stuck in quicksand,"It can feel like the more you try, the more stuck you get. But even small movements forward help. What’s something small we can do to make you feel a little better?",,,,,,,,,,,,,
I feel like I’m stuck in quicksand,"You’re not alone in this, even when it feels like you’re sinking. Let’s break it down together and see what small steps we can take to make things easier.",,,,,,,,,,,,,
I feel like I’m stuck in quicksand,"I’m so sorry you’re feeling this way, but I know you have the strength to work through it, even if it doesn’t feel like it right now. Let’s tackle it together",,,,,,,,,,,,,
I feel like I’m stuck in quicksand,"It’s okay to feel stuck—sometimes it’s just part of the process. Let’s talk about what’s going on, and we’ll figure out how to get you feeling better.",,,,,,,,,,,,,
I feel like I’m stuck in quicksand,"I know it feels like a never-ending struggle, but you’ve made it through tough times before. You can do this, and I’ll be here with you every step of the way",,,,,,,,,,,,,
It sounds like you’re feeling overwhelmed. Can you tell me a bit more about what’s been on your mind lately?,Take your time—it’s okay to start wherever feels right for you. I’m here to listen and support you.,,,,,,,,,,,,,
It sounds like you’re feeling overwhelmed. Can you tell me a bit more about what’s been on your mind lately?,It’s completely understandable to feel this way. Let’s work together to figure out what’s been causing these feelings.,,,,,,,,,,,,,
It sounds like you’re feeling overwhelmed. Can you tell me a bit more about what’s been on your mind lately?,You’re not alone in this. We’ll take it one step at a time and work through what’s been overwhelming you.,,,,,,,,,,,,,
It sounds like you’re feeling overwhelmed. Can you tell me a bit more about what’s been on your mind lately?,"It’s a lot to process, I know. What’s been standing out the most as something you’d like to share or explore further?",,,,,,,,,,,,,
It sounds like you’re feeling overwhelmed. Can you tell me a bit more about what’s been on your mind lately?,"I appreciate you opening up about this. Let’s dive into what’s been weighing on your mind, one piece at a time.",,,,,,,,,,,,,
I can hear how heavy this is for you. What do you think has been causing these feelings?,That sounds like a lot to carry. Can you share a bit more about what’s been triggering these emotions?,,,,,,,,,,,,,
I can hear how heavy this is for you. What do you think has been causing these feelings?,It’s clear this is really affecting you. What’s been standing out as the biggest challenge lately?,,,,,,,,,,,,,
I can hear how heavy this is for you. What do you think has been causing these feelings?,You’ve been through so much. What do you think might be at the root of these feelings?,,,,,,,,,,,,,
I can hear how heavy this is for you. What do you think has been causing these feelings?,I’m here to help you unpack this. What do you feel has been building up to these emotions?,,,,,,,,,,,,,
I can hear how heavy this is for you. What do you think has been causing these feelings?,"It’s okay to take your time with this. When you’re ready, what do you feel has been contributing to how you’re feeling?",,,,,,,,,,,,,
I’m glad you’re here today. Let’s take it step by step and start with what’s been bothering you.,It’s good that you’ve taken this step to talk. What’s been weighing on your mind the most lately?,,,,,,,,,,,,,
I’m glad you’re here today. Let’s take it step by step and start with what’s been bothering you.,"I’m here to listen, no matter what’s going on. Where do you feel like we should begin?",,,,,,,,,,,,,
I’m glad you’re here today. Let’s take it step by step and start with what’s been bothering you.,Thank you for opening up today. What’s been the hardest part of everything you’re dealing with?,,,,,,,,,,,,,
I’m glad you’re here today. Let’s take it step by step and start with what’s been bothering you.,I appreciate you being here. Let’s take it one piece at a time—what’s been on your mind recently?,,,,,,,,,,,,,
I’m glad you’re here today. Let’s take it step by step and start with what’s been bothering you.,It means a lot that you’re sharing this. What’s been the biggest thing you’ve been struggling with?,,,,,,,,,,,,,
"You’ve been carrying a lot lately, haven’t you? Let’s talk about what’s been weighing on you.",I can sense there’s a lot on your plate right now. Where do you want to start unpacking it?,,,,,,,,,,,,,
"You’ve been carrying a lot lately, haven’t you? Let’s talk about what’s been weighing on you.",It seems like things have been really heavy for you. What’s been the hardest part to carry?,,,,,,,,,,,,,
"You’ve been carrying a lot lately, haven’t you? Let’s talk about what’s been weighing on you.",You’ve been through so much—it’s okay to let it out. What’s been pressing on you the most?,,,,,,,,,,,,,
"You’ve been carrying a lot lately, haven’t you? Let’s talk about what’s been weighing on you.",I can tell it hasn’t been easy lately. What’s been the biggest challenge you’ve faced?,,,,,,,,,,,,,
"You’ve been carrying a lot lately, haven’t you? Let’s talk about what’s been weighing on you.",It’s a lot to hold onto alone. What’s one thing you’d like to share with me right now?,,,,,,,,,,,,,
It sounds like you’re struggling with a lot of internal conflict right now. Can you share more about what’s been happening?,I can hear how much you’ve been grappling with. What’s been the most challenging part of it all?,,,,,,,,,,,,,
It sounds like you’re struggling with a lot of internal conflict right now. Can you share more about what’s been happening?,That must feel so exhausting to navigate. What’s been at the core of this internal conflict?,,,,,,,,,,,,,
It sounds like you’re struggling with a lot of internal conflict right now. Can you share more about what’s been happening?,It’s okay to feel torn. What’s been pulling you in different directions lately?,,,,,,,,,,,,,
It sounds like you’re struggling with a lot of internal conflict right now. Can you share more about what’s been happening?,That sounds really tough to process. Can you tell me more about what’s been stirring inside?,,,,,,,,,,,,,
It sounds like you’re struggling with a lot of internal conflict right now. Can you share more about what’s been happening?,It must be hard to carry this back and forth on your own. What’s been weighing on your mind the most?,,,,,,,,,,,,,
"You’ve been carrying a lot lately, haven’t you? Let’s talk about what’s been weighing on you.",It sounds like you’ve had a lot on your plate recently. What’s been the heaviest part for you?,,,,,,,,,,,,,
"You’ve been carrying a lot lately, haven’t you? Let’s talk about what’s been weighing on you.",I can tell this has been a challenging time. What’s been taking up most of your energy?,,,,,,,,,,,,,
"You’ve been carrying a lot lately, haven’t you? Let’s talk about what’s been weighing on you.",That’s a lot to hold on to by yourself. What’s been making things feel so overwhelming?,,,,,,,,,,,,,
"You’ve been carrying a lot lately, haven’t you? Let’s talk about what’s been weighing on you.",I can see you’ve been shouldering a lot. What’s been the hardest part to manage?,,,,,,,,,,,,,
"You’ve been carrying a lot lately, haven’t you? Let’s talk about what’s been weighing on you.",You’ve been dealing with so much. What’s been the most pressing thing on your mind lately?,,,,,,,,,,,,,
You’re doing a great job expressing yourself. Let’s explore how this situation has been affecting you emotionally.,I really appreciate how openly you’re sharing. How do you think this has been impacting you on a deeper level?,,,,,,,,,,,,,
You’re doing a great job expressing yourself. Let’s explore how this situation has been affecting you emotionally.,"You’re being so honest about your feelings, and that’s not easy. What emotions have been coming up for you the most?",,,,,,,,,,,,,
You’re doing a great job expressing yourself. Let’s explore how this situation has been affecting you emotionally.,You’re showing a lot of courage by talking about this. How has all of this been making you feel inside?,,,,,,,,,,,,,
You’re doing a great job expressing yourself. Let’s explore how this situation has been affecting you emotionally.,Thank you for being so open. What emotional impact do you feel this situation has had on you?,,,,,,,,,,,,,
You’re doing a great job expressing yourself. Let’s explore how this situation has been affecting you emotionally.,You’re handling this conversation with so much strength. How has this been affecting your mood and emotions day-to-day?,,,,,,,,,,,,,
I hear that you’re feeling stuck. Could you walk me through some of the things that are making you feel this way?,It sounds like you’re in a tough spot right now. What’s been going on that’s contributing to this feeling of being stuck?,,,,,,,,,,,,,
I hear that you’re feeling stuck. Could you walk me through some of the things that are making you feel this way?,I understand that things feel overwhelming. Can you help me understand what’s been holding you back or making you feel stuck?,,,,,,,,,,,,,
I hear that you’re feeling stuck. Could you walk me through some of the things that are making you feel this way?,It sounds like there’s a lot on your mind. What are some of the challenges that are making you feel this way?,,,,,,,,,,,,,
I hear that you’re feeling stuck. Could you walk me through some of the things that are making you feel this way?,You’ve been dealing with a lot. Let’s unpack what’s going on and see if we can find some clarity around this feeling of being stuck.,,,,,,,,,,,,,
I hear that you’re feeling stuck. Could you walk me through some of the things that are making you feel this way?,I hear you. Let’s take a moment to explore what’s been happening and figure out what’s contributing to this sense of being stuck.,,,,,,,,,,,,,
It’s clear you’ve been under a lot of stress. How has this been showing up in your daily life?,I can sense the weight of all this stress. Can you share more about how it’s affecting your day-to-day routine?,,,,,,,,,,,,,
It’s clear you’ve been under a lot of stress. How has this been showing up in your daily life?,It sounds like this stress is really taking a toll. What parts of your day have been the hardest to manage lately?,,,,,,,,,,,,,
It’s clear you’ve been under a lot of stress. How has this been showing up in your daily life?,I hear you—it must be tough dealing with all this pressure. How have you been coping with it in your everyday life?,,,,,,,,,,,,,
It’s clear you’ve been under a lot of stress. How has this been showing up in your daily life?,You’re carrying a lot right now. How has all this stress been affecting your relationships or your work?,,,,,,,,,,,,,
It’s clear you’ve been under a lot of stress. How has this been showing up in your daily life?,It seems like this stress is everywhere. Can you walk me through how it’s been showing up for you each day?,,,,,,,,,,,,,
You’ve mentioned a lot of things on your mind. Let’s take a moment to focus on what feels most pressing right now.,"I hear you, it sounds like there’s a lot going on. Let’s narrow it down and focus on what feels like the biggest concern today.",,,,,,,,,,,,,
You’ve mentioned a lot of things on your mind. Let’s take a moment to focus on what feels most pressing right now.,It’s clear you’ve got a lot to process. What’s the one thing that’s been weighing on you the most at this moment?,,,,,,,,,,,,,
You’ve mentioned a lot of things on your mind. Let’s take a moment to focus on what feels most pressing right now.,It’s understandable that everything feels important. Let’s take it step by step—what’s the first thing that feels urgent to you?,,,,,,,,,,,,,
You’ve mentioned a lot of things on your mind. Let’s take a moment to focus on what feels most pressing right now.,I can sense a lot of thoughts swirling around. Let’s hone in on what feels most overwhelming for you right now.,,,,,,,,,,,,,
You’ve mentioned a lot of things on your mind. Let’s take a moment to focus on what feels most pressing right now.,"There’s a lot going on, I can tell. Let’s pick one thing to talk about first—what’s standing out the most for you at this moment?",,,,,,,,,,,,,
It sounds like you’re dealing with a lot of inner turmoil. Let’s talk about where this all started.,It seems like there’s a lot beneath the surface. Can you remember when you first started feeling this way?,,,,,,,,,,,,,
It sounds like you’re dealing with a lot of inner turmoil. Let’s talk about where this all started.,I can sense that this has been building up for a while. Can you walk me through the first time you noticed these feelings?,,,,,,,,,,,,,
It sounds like you’re dealing with a lot of inner turmoil. Let’s talk about where this all started.,It must be tough carrying all this. Let’s go back to when things began to feel this overwhelming for you.,,,,,,,,,,,,,
It sounds like you’re dealing with a lot of inner turmoil. Let’s talk about where this all started.,It seems like this has been going on for some time now. Can you pinpoint when everything started to feel so heavy?,,,,,,,,,,,,,
It sounds like you’re dealing with a lot of inner turmoil. Let’s talk about where this all started.,It sounds like a lot is weighing on you right now. Let’s explore the beginning of this and how it all started for you.,,,,,,,,,,,,,
"I hear you, it’s like you’re carrying something heavy. What do you think is contributing to these feelings?",It sounds like there’s a lot on your plate. Can you share what’s been adding to that weight lately?,,,,,,,,,,,,,
"I hear you, it’s like you’re carrying something heavy. What do you think is contributing to these feelings?",I can tell this is a lot for you. What are some of the things you feel are making it harder for you right now?,,,,,,,,,,,,,
"I hear you, it’s like you’re carrying something heavy. What do you think is contributing to these feelings?","You’re really carrying a lot, and I can see it. What’s been happening in your life that’s making this feel so heavy?",,,,,,,,,,,,,
"I hear you, it’s like you’re carrying something heavy. What do you think is contributing to these feelings?",It’s clear that you’re feeling burdened. What parts of your life do you think are adding to these feelings?,,,,,,,,,,,,,
"I hear you, it’s like you’re carrying something heavy. What do you think is contributing to these feelings?",I hear how tough this is for you. Let’s dig into what might be contributing to this weight you’re feeling.,,,,,,,,,,,,,
It’s okay to take your time. I just want to understand what’s been making you feel this way.,"There’s no rush. Whenever you’re ready, I’d like to hear more about what’s been on your mind.",,,,,,,,,,,,,
It’s okay to take your time. I just want to understand what’s been making you feel this way.,"I’m here for you, and we can take things slow. What’s been going on that’s causing you to feel like this?",,,,,,,,,,,,,
It’s okay to take your time. I just want to understand what’s been making you feel this way.,"Take your time, I’m not going anywhere. Let’s talk about what’s been building up inside.",,,,,,,,,,,,,
It’s okay to take your time. I just want to understand what’s been making you feel this way.,"I know this might be hard, and it’s okay to go at your own pace. What’s been happening for you lately?",,,,,,,,,,,,,
It’s okay to take your time. I just want to understand what’s been making you feel this way.,"You don’t have to rush. Whenever you’re ready, I’d love to hear what’s been weighing on you.",,,,,,,,,,,,,
It seems like there’s a lot of confusion. Let’s break this down one step at a time.,I can see how overwhelming this must be. Let’s take it one thing at a time and figure it out together.,,,,,,,,,,,,,
It seems like there’s a lot of confusion. Let’s break this down one step at a time.,It sounds like you’re trying to make sense of a lot. Let’s take a moment and sort through things slowly.,,,,,,,,,,,,,
It seems like there’s a lot of confusion. Let’s break this down one step at a time.,It’s okay to feel uncertain sometimes. Let’s break it down piece by piece and see if we can find some clarity.,,,,,,,,,,,,,
It seems like there’s a lot of confusion. Let’s break this down one step at a time.,I hear you—it’s a lot to process. Let’s take it step by step and see if we can make sense of it together.,,,,,,,,,,,,,
It seems like there’s a lot of confusion. Let’s break this down one step at a time.,I understand that this is all a lot right now. Let’s break it down and focus on one part at a time.,,,,,,,,,,,,,
It sounds like you’re feeling misunderstood. Can you tell me a bit about why you think that is?,It must be tough feeling like others don’t quite get where you’re coming from. What’s been happening that makes you feel this way?,,,,,,,,,,,,,
It sounds like you’re feeling misunderstood. Can you tell me a bit about why you think that is?,I can imagine how frustrating that must be. Can you share more about the moments when you’ve felt misunderstood?,,,,,,,,,,,,,
It sounds like you’re feeling misunderstood. Can you tell me a bit about why you think that is?,"I hear you, feeling misunderstood can be so isolating. What do you think is causing that disconnect for you?",,,,,,,,,,,,,
It sounds like you’re feeling misunderstood. Can you tell me a bit about why you think that is?,It sounds like you’re feeling like people aren’t seeing things from your perspective. What do you think might be making that happen?,,,,,,,,,,,,,
It sounds like you’re feeling misunderstood. Can you tell me a bit about why you think that is?,That’s a really tough place to be in. Can you walk me through some of the things that have made you feel misunderstood?,,,,,,,,,,,,,#VALUE!
This sounds really overwhelming. Let’s focus on one thing at a time so we can work through it together.,I can tell this is a lot to manage. Let’s take it step by step and figure out what feels most important to tackle first.,,,,,,,,,,,,,#VALUE!
This sounds really overwhelming. Let’s focus on one thing at a time so we can work through it together.,It seems like a lot to juggle right now. Let’s start with the part that’s weighing on you the most and break it down together.,,,,,,,,,,,,,#VALUE!
This sounds really overwhelming. Let’s focus on one thing at a time so we can work through it together.,I hear how much is on your plate. Let’s slow down and address one thing at a time so it doesn’t feel so overwhelming,,,,,,,,,,,,,#VALUE!
This sounds really overwhelming. Let’s focus on one thing at a time so we can work through it together.,It’s okay to feel like this is too much. Let’s prioritize and take things one piece at a time so it feels more manageable.,,,,,,,,,,,,,#VALUE!
This sounds really overwhelming. Let’s focus on one thing at a time so we can work through it together.,"I understand how overwhelming it can be. Let’s work through the most urgent part first, and then we’ll handle the rest step by step.",,,,,,,,,,,,,#VALUE!
It’s clear you’re feeling a lot of pressure. How are you coping with these feelings right now?,"I can imagine how tough this must be. Have you found anything that helps ease the pressure, even a little?",,,,,,,,,,,,,#VALUE!
It’s clear you’re feeling a lot of pressure. How are you coping with these feelings right now?,It sounds like there’s a lot going on. How are you managing these feelings day-to-day?,,,,,,,,,,,,,#VALUE!
It’s clear you’re feeling a lot of pressure. How are you coping with these feelings right now?,"I hear you, the pressure sounds intense. Are there any ways you’ve been trying to cope with all of this?",,,,,,,,,,,,,#VALUE!
It’s clear you’re feeling a lot of pressure. How are you coping with these feelings right now?,I can see how overwhelming this must feel. What have you been doing to try and get through these moments?,,,,,,,,,,,,,#VALUE!
It’s clear you’re feeling a lot of pressure. How are you coping with these feelings right now?,It’s understandable to feel this way with so much pressure. How have you been handling these emotions so far?,,,,,,,,,,,,,#VALUE!
I can sense you’re carrying a lot of pain. What’s been going on recently that’s been triggering these feelings?,It sounds like you’ve been through some tough times lately. Can you share what’s been happening that’s been weighing on you?,,,,,,,,,,,,,#VALUE!
